一	one
二	two
三	three
四	four
五	five
六	six
七	seven
八	eight
九	nine (*baseball)
十	ten
口	mouth
日	day
月	month
田	rice field
目	eye
古	old
吾	I
冒	risk
朋	companion
明	bright
唱	chant
晶	sparkle
品	goods
呂	spine
昌	prosperous
早	early
旭	rising sun
世	generation
胃	stomach
旦	nightbreak
胆	gall bladder
亘	span
凹	concave
凸	convex
旧	olden days
自	oneself
白	white
百	hundred
中	in
千	thousand
舌	tongue
升	measuring box
昇	rise up
丸	round
寸	measurement
専	specialty
博	Dr.
占	fortune telling
上	above
下	below
卓	eminent
朝	morning
只	only
貝	shellfish
貞	upright
員	employee
見	see
児	newborn babe
元	beginning
頁	page (*head)
頑	stubborn
凡	mediocre
負	defeat
万	ten thousand
句	phrase
肌	texture
旬	decameron
勺	ladle
的	bull's eye
首	neck
乙	fishguts
乱	riot
直	straightaway
具	tool
真	true
工	craft
左	left
右	right
有	possess
賄	bribe
貢	tribute
項	paragraph
刀	sword
刃	blade
切	cut
召	seduce
昭	shining
則	rule
副	vice
別	separate
丁	street (+*nail or spike)
町	village
可	can
頂	place on the head
子	child
孔	cavity
了	complete
女	woman
好	fond
如	likeness
母	mama / mother
貫	pierce
兄	elder brother (*teenager)
克	overcome
小	little
少	few
大	large (St. Bernard dog)
多	many
夕	evening
汐	eventide
外	outside
名	name
石	stone (*stone/rocks)
肖	resemblance (*spark or candle)
硝	nitrate
砕	smash
砂	sand
削	plane
光	ray
太	plump
器	utensil
臭	stinking
妙	exquisite
省	focus
厚	thick
奇	strange
川	stream (+flood)
州	state
順	obey
水	water
氷	icicle
永	eternity
泉	spring
原	meadow
願	petition
泳	swim
沼	marsh
沖	open sea
江	creek
汁	soup
潮	tide
源	source
活	lively
消	extinguish
況	but of course
河	river
泊	overnight
湖	lake
測	fathom
土	soil (+*dirt, ground, land)
吐	spit
圧	pressure
埼	cape
垣	hedge
圭	squared jewel (*ivy)
封	seal
涯	horizon
寺	Buddhist temple
時	time
均	level
火	fire (*fireplace/hearth/conflagration) 
炎	inflammation
煩	anxiety
淡	thin
灯	lamp
畑	farm
災	disaster
灰	ashes
点	spot
照	illuminate
魚	fish
漁	fishing
里	ri (*computer)
黒	black
墨	black ink
鯉	carp
量	quantity
厘	rin
埋	bury
同	same (+*monks dressed in a common habit)
洞	den
胴	trunk
向	yonder
尚	esteem
字	character
守	guard
完	perfect
宣	proclaim
宵	wee hours
安	relax
宴	banquet
寄	draw near
富	wealth
貯	savings
木	tree (*wood, in diff shape: also pole/wooden pole)
林	grove
森	forest
桂	Japanese Judas-tree
柏	oak
枠	frame
梢	treetops
棚	shelf
杏	apricot
桐	paulownia
植	plant
枯	wither
朴	crude
村	town
相	inter-
机	desk
本	book
札	tag
暦	calendar
案	plan
燥	parch
未	not yet
末	extremity
沫	splash
味	flavor
妹	younger sister
朱	vermilion
株	stocks
若	young
草	grass
苦	suffering
寛	tolerant
薄	dilute
葉	leaf
模	imitation
漠	vague
墓	grave
暮	livelihood
膜	membrane
苗	seedling
兆	portent (*full form=portent, left half=turtle)
桃	peach tree
眺	stare
犬	dog (*chihuahua, small dog. In other form: pack of wild dogs)
状	status quo
黙	silence
然	sort of thing
荻	reed
狩	hunt
猫	cat
牛	cow
特	special
告	revelation
先	before
洗	wash
介	jammed in
界	world
茶	tea
合	fit
塔	pagoda
王	king (king/scepter)
玉	jewel (*jewel/ball, lacks dot when on left in a kanji)
宝	treasure
珠	pearl
現	present
狂	lunatic
皇	emperor
呈	display
全	whole
栓	plug
理	logic
主	lord (*candlestick)
注	pour
柱	pillar
金	gold (+metal)
銑	pig iron
鉢	bowl
銅	copper
釣	angling
針	needle
銘	Inscription
鎮	tranquilize　
道	road-way
珍	guidance
辻	crossing
迅	swift
造	create
迫	urge
逃	escape
辺	environs
巡	patrol
車	car
連	take along (ie: bring someone along)
軌	rut
輸	transport
前	in front
各	each 
格	status
略	abbreviation
客	guest
額	forehead
夏	summer
処	dispose
条	twig (article, clause, item)
落	fall
冗	superfluous
軍	army
輝	radiance
運	carry
冠	crown
夢	dream
坑	pit (deep pit etc.)
高	tall
享	receive
塾	cram school
熟	mellow
亭	pavilion
京	capital (capital city)
涼	refreshing
景	scenery
鯨	whale
舎	cottage
周	circumference (+*lap)
週	week
士	gentleman (*samurai)
吉	good luck (*aerosol can)
壮	robust
荘	villa
売	sell
学	study
覚	memorize
栄	flourish
書	write
津	haven
牧	breed
攻	aggression
敗	failure
枚	a sheet of
故	happenstance
敬	awe
言	say (*saying, speech, words)
警	admonish
計	plot
獄	prison
訂	revise
討	chastise
訓	instruction
詔	imperial edict
詰	packed
話	tale
詠	recitation
詩	poem
語	word
読	read
調	tune
談	discuss
諾	consent
諭	rebuke
式	style
試	test
弐	two
域	range
賊	burglar
栽	plantation
載	load (ride in edict)
茂	overgrown
成	turn into
城	castle
誠	sincerity
威	intimidate
滅	destroy
減	dwindle
桟	scaffold
銭	coin
浅	shallow
止	stop (*footprint)
歩	walk
渉	ford
頻	repeatedly
肯	agreement
企	undertake
歴	curriculum
武	warrior
賦	levy
正	correct
証	evidence
政	politics
定	determine
錠	lock
走	run
超	transcend
赴	proceed
越	surpass
是	just so
題	topic
堤	dike
建	build
延	prolong
誕	nativity
礎	cornerstone
婿	bridegroom
衣	garment
裁	tailor
装	attire
裏	back
壊	demolition
哀	pathetic
遠	distant
猿	monkey
初	first time
布	linen
帆	sail
幅	hanging scroll
帽	cap
幕	curtain
幌	canopy
錦	brocade
市	market
姉	elder sister
肺	lungs
帯	sash
滞	stagnate
刺	thorn
制	system
製	made in ...
転	revolve
芸	technique
雨	rain (*+weather)
雲	cloud
曇	cloudy weather
雷	thunder
霜	frost
冬	winter
天	heavens (+*heaven)
橋	bridge
嬌	attractive
立	stand up (+*vase)
泣	cry
章	badge　
競	vie
帝	sovereign
童	juvenile
瞳	pupil
鐘	bell
商	make a deal
嫡	legitimate wife
適	suitable
滴	drip
敵	enemy
匕	spoon (+*someone sitting on ground)
北	north
背	stature
比	compare
昆	descendants
皆	all
混	mix
渇	thirst
謁	audience
褐	brown
喝	hoarse
旨	delicious
脂	fat
壱	I (one)
毎	every
敏	cleverness
梅	plum
海	sea
乞	beg
乾	drought
腹	abdomen
複	duplicate
欠	lack (*yawn or lack)
吹	blow　
炊	cook
歌	song
軟	soft
次	next (*second)
茨	briar
資	assets
姿	figure
諮	consult with
賠	compensation
培	cultivate
剖	divide
音	sound
暗	darkness
韻	rhyme
識	discriminating (right primitive is kazoo)
鏡	mirror
境	boundary
亡	perish (+*deceased)
盲	blind
妄	delusion
荒	laid waste
望	ambition
方	direction (*compass)
妨	disturb
坊	boy
芳	perfumed
肪	obese
訪	call on
放	set free
激	violent
脱	undress
説	rumor
鋭	pointed
曽	formerly (*increase)
増	increase
贈	presents
東	east (*direction and political east)
棟	ridgepool
凍	frozen
妊	pregnancy
廷	courts
染	dye
燃	burn
賓	V.I.P.
歳	year-end　
県	prefecture
栃	horse chestnut
地	ground
池	pond
虫	insect (*refers to whole insect kingdom)
蛍	lighting bug
蛇	snake
虹	rainbow
蝶	butterfly
独	single
蚕	silkworm
風	wind
己	self (*snake)
起	rouse
妃	queen
改	reformation
記	scribe
包	wrap
胞	placenta
砲	cannon
泡	bubble
亀	tortoise (*eel)
電	electricity
竜	dragon
滝	waterfall
豚	pork
逐	pursue
遂	consummate
家	house
嫁	marry in
豪	overpowering
腸	intestines
場	location
湯	hot water
羊	sheep
美	beauty
洋	ocean
詳	detailed
鮮	fresh
達	accomplished
羨	envious
差	distinction
着	don
唯	solely
焦	char
礁	reef
集	gather
准	quasi-
進	advance
雑	miscellaneous
雌	feminine
準	semi-
奮	stirred up
奪	rob
確	assurance
午	noon (*horse)
許	permit
歓	delight
権	authority
観	outlook
羽	feathers (+*wings)
習	learn
翌	the following
曜	weekday
濯	laundry
曰	sayeth
困	quandary
固	harden
国	country
団	group
因	cause
姻	matrimony
園	park
回	-times
壇	 podium
店	store
庫	storehouse (warehouse)
庭	courtyard
庁	government office
床	bed
麻	hemp
磨	grind
心	heart　(*to the left - emotional state of mind, *beneath or right=heart, *bottom - valentine)
忘	forget
忍	endure (long-suffering patience)
認	acknowledge
忌	mourning
志	intention
誌	document
忠	loyalty
串	shish kebab
患	afflicted
思	think
恩	grace (favor freely bestowed)
応	apply (fills a certain need)
意	idea
想	concept
息	breath
憩	recess
恵	favor
恐	fear
惑	beguile
感	emotion
憂	melancholy
寡	widow
忙	busy
悦	ecstasy
恒	constancy
悼	lament
悟	enlightenment
怖	dreadful
慌	disconcerted
悔	repent
憎	hate
慣	accustomed
愉	pleasure
惰	lazy
慎	humility
憾	remorse
憶	recollection
慕	pining
添	annexed
必	invariably
泌	ooze
手	hand
看	watch over
摩	chafe
我	ego
義	righteousness
議	deliberation
犠	sacrifice
抹	rub
抱	embrace
搭	board
抄	extract
抗	confront
批	criticism
招	beckon
拓	clear the land
拍	clap
打	strike
拘	arrest
捨	discard
拐	kidnap
摘	pinch
挑	challenge
指	finger
持	hold
括	fasten
揮	brandish
推	conjecture
揚	hoist
提	propose
損	damage
拾	pick up
担	shouldering (shouldering a burden of some sort)
拠	foothold
描	sketch
操	maneuver
接	touch
掲	put up a notice
掛	hang
研	polish
戒	commandment
械	contraption
鼻	nose
刑	punish
型	mould
才	genius (*genie,  other form-> genie in the bottle)
財	property
材	lumber
存	suppose
在	exist
乃	from (*fist) (note: literally is の)
携	portable
及	reach out (*outstretched hands)
吸	suck
扱	handle
丈	length (*tucked under the arm)
史	history
吏	officer
更	grow late
硬	stiff
又	or again (* crotch)
双	pair
桑	mulberry
隻	vessels
護	safeguard
獲	seize
奴	guy
怒	angry
友	friend
抜	slip out
投	throw
没	drown
設	establishment
撃	beat
殻	husk
支	branch
技	skill
枝	bough
肢	limb
茎	stalk (stem)
怪	suspicious
軽	lightly
叔	uncle
督	coach
寂	loneliness
淑	graceful
反	anti-
坂	slope
板	board
返	return
販	marketing
爪	claw (*vulture)
妥	gentle
乳	milk
浮	floating
将	leader
奨	exhort
採	pick (kanji used for picking fruits from trees)
菜	vegetable
受	accept
授	impart
愛	love
払	pay
広	wide
拡	broaden
鉱	mineral
弁	valve ［elbow...two hands］
雄	masculine
台	pedestal
怠	neglect
治	reign
始	commence
胎	womb
窓	window
去	gone
法	method
会	meeting
至	climax (to peak, to arrive at end etc)
室	room (-room)
到	arrival
致	doth
互	mutually
棄	abandon
育	bring up
撤	remove
充	allot
銃	gun
硫	sulfur
流	current
允	license
唆	tempt
出	exit
山	mountain
拙	bungling
岩	boulder
炭	charcoal
岐	branch off
峠	mountain peak
崩	crumble
密	secrecy
蜜	honey
嵐	storm
崎	promonotory
入	enter (+*go-/put-/come in, 八 when at top)
込	crowded
分	part
貧	poverty
頒	partition
公	public
松	pine tree
翁	venerable old man
訟	sue
谷	valley
浴	bathe
容	contain
溶	melt
欲	longing
裕	abundant
鉛	lead (metal)
沿	run alongside [water...gully]
賞	prize
党	party
堂	public chamber
常	usual
裳	skirt
掌	manipulate
皮	pelt
波	waves
婆	old woman
披	expose
破	rend
被	incur
残	remainder
殉	martyrdom
殊	particularly
殖	augment
列	file (people or things lined up in a row)
裂	split
烈	ardent
死	death
葬	interment
瞬	wink
耳	ear
取	take
趣	gist
最	utmost
撮	snapshot
恥	shame
職	post (one's occupation) [ear...kazoo]
聖	holy
敢	daring
聴	listen
懐	pocket
慢	ridicule
漫	loose (cartoon)
買	buy
置	placement
罰	penalty
寧	rather
濁	voiced
環	ring
還	send back
夫	husband
扶	aid
渓	mountain stream
規	standard
替	exchange
賛	approve
潜	submerge
失	lose (+*drop)
鉄	iron
迭	alternate
臣	retainer (*slave)
姫	princess
蔵	storehouse
臓	entrails
賢	intelligent
堅	strict
臨	look to
覧	perusal
巨	gigantic
拒	repel
力	power (*muscle/power)
男	male
労	labor
募	recruit
劣	inferiority
功	achievement
勧	persuade
努	toil
励	encourage
加	add
賀	congratulations
架	erect
